,,,,,
,City,Hotel,Num_reviews,Chain,Star
,New York,The Manhattan at Times Square Hotel,82,Yes,3
,New York,The Marlton Hotel,23,No,3
,New York,THE PAUL NYC- Hotel New York City,80,No,3
,New York,The Wall Street Inn,36,No,3
,New York,Washington Square Hotel,44,No,3
,New York,Wellington Hotel,1,,
,New York,YOTEL New York,97,Yes,3
,Miami,Aloft Miami - Brickell,83,Yes,3
,Miami,Aloft Miami Airport,44,Yes,3
,Miami,Cambria Hotel Miami Airport - Blue Lagoon,44,Yes,3
,Miami,Comfort Suites Miami / Kendall,46,Yes,3
,Miami,Courtyard by Marriott Miami Airport,95,Yes,3
,Miami,Courtyard Miami Coconut Grove,100,Yes,3
,Miami,Courtyard Miami Downtown Brickell Area,100,Yes,3
,Miami,Courtyard Miami West/FL Turnpike,32,Yes,3
,Miami,Doubletree by Hilton Grand Hotel Biscayne Bay,89,Yes,3
,Miami,DoubleTree by Hilton Hotel Miami Airport & Convention Center,48,Yes,3
,Miami,Element Miami International Airport,98,Yes,3
,Miami,Even Hotels Miami Airport,24,Yes,3
,Miami,Fairfield Inn & Suites Miami Airport South,99,Yes,3
,Miami,Fortune House Hotel,25,No,4
,Miami,Four Points by Sheraton Coral Gables,38,Yes,3
,Miami,Four Points by Sheraton Miami Airport,31,Yes,3
,Miami,Hampton By Hilton Miami-Coconut Grove/Coral Gables,92,Yes,3
,Miami,Hampton Inn & Suites by Hilton - Miami Brickell Downtown,100,Yes,3
,Miami,Hampton Inn & Suites by Hilton Miami Airport South - Blue Lagoon,74,Yes,3
,Miami,Hampton Inn & Suites Miami Midtown,32,Yes,3
,Miami,Hampton Inn Miami Airport East,57,Yes,3
,Miami,Hilton Garden Inn Miami Airport West,100,Yes,3
,Miami,Hilton Garden Inn Miami Brickell South,22,Yes,3
,Miami,Hilton Miami Dadeland,22,Yes,3
,Miami,Holiday Inn Express & Suites Miami Airport East,64,Yes,3
,Miami,Holiday Inn Express Miami Airport Doral Area,91,Yes,3
